Junction,DT_Train_RMSE,DT_Test_RMSE,LR_Train_RMSE,LR_Test_RMSE,RF_Train_RMSE,RF_Test_RMSE
1,12.94925041554787,21.810629976989393,20.35183608152757,20.176884002928485,13.12828929967978,19.862190033211636
2,4.665751767472181,8.112149157445726,6.814019580791129,6.715099164653631,4.739612397866675,7.284820993970971
3,6.657583978196578,12.512953966865485,9.68225345320452,9.6256763112678,6.751028979847714,11.134270334503709
4,0.9497443806041753,3.571841994812108,3.058515694951325,3.2834625913491307,1.2735029721439222,2.9128901122185105
